Date,Open,High,Low,Close,Adj Close,Volume
2023-11-29,52.770000,53.049999,52.360001,52.730000,51.826820,10510000
2023-11-30,52.730000,54.380001,52.730000,54.270000,53.340446,17708200
2023-12-01,54.349998,54.799999,53.880001,54.380001,53.448563,9473200
2023-12-04,54.299999,54.810001,53.959999,54.169998,53.242157,6957900
2023-12-05,54.160000,54.540001,54.009998,54.169998,53.242157,5862900
2023-12-06,54.380001,54.480000,52.900002,53.009998,52.102024,8820100
2023-12-07,53.000000,53.889999,53.000000,53.869999,52.947292,5780700
2023-12-08,53.900002,54.599998,53.660000,54.450001,53.517361,10392100
2023-12-11,54.450001,54.709999,54.070000,54.439999,53.507534,5737000
2023-12-12,53.799999,53.799999,52.410000,52.500000,51.927269,12531800
2023-12-13,52.470001,53.259998,51.639999,52.980000,52.402031,18080000
2023-12-14,53.500000,53.560001,52.400002,53.330002,52.748215,18436600
2023-12-15,53.250000,54.610001,52.820000,54.610001,54.014252,18220700
2023-12-18,54.669998,55.029999,54.169998,54.650002,54.053814,7759100
2023-12-19,54.570000,54.919998,54.299999,54.849998,54.251629,7733500
2023-12-20,54.849998,55.000000,54.060001,54.209999,53.618610,7826900
2023-12-21,54.799999,54.799999,53.889999,54.290001,53.697742,10004000
2023-12-22,54.500000,54.619999,54.070000,54.439999,53.846104,7303200
2023-12-26,54.439999,54.959999,54.299999,54.939999,54.340649,3983200
2023-12-27,54.799999,54.970001,54.580002,54.860001,54.261520,3372500
2023-12-28,54.860001,55.389999,54.689999,55.389999,54.785740,5840400
2024-01-02,55.119999,55.279999,54.450001,54.759998,54.162609,8170500
2024-01-03,54.680000,55.070000,54.500000,54.810001,54.212070,8148400
2024-01-04,54.750000,54.900002,54.119999,54.230000,53.638393,8099900
2024-01-05,54.180000,55.130001,54.000000,54.880001,54.281307,8227900
2024-01-08,55.049999,55.480000,54.779999,55.349998,54.746174,9053800
2024-01-09,55.090000,55.150002,54.279999,54.520000,53.925232,7683800
2024-01-10,54.169998,54.669998,54.169998,54.430000,53.836216,4939300
2024-01-11,54.400002,54.849998,54.220001,54.799999,54.202179,6743100
2024-01-12,54.799999,55.200001,54.310001,55.119999,54.518684,5063300
2024-01-15,55.099998,56.200001,55.000000,56.200001,55.586906,8413800
2024-01-16,55.959999,56.470001,55.770000,55.880001,55.270397,8972200
2024-01-17,55.810001,56.099998,55.630001,55.990002,55.379196,9683100
2024-01-18,56.049999,56.110001,55.259998,55.340000,54.736286,7324400
2024-01-19,55.529999,56.349998,55.279999,55.919998,55.309956,12662500
2024-01-22,56.070000,56.130001,55.360001,55.549999,54.943993,6545700
